model,bucket,n_quotes,price_rmse,price_mae,price_max_abs,iv_rmse_bps,iv_mae_bps,iv_max_abs_bps
Heston,all,9,0.07728585129162158,0.0456594304113612,0.21331109299527284,16.66539319707429,12.41244516659147,38.97313673194097
Heston,atm,3,0.12493266181591063,0.08555179711232179,0.21331109299527284,23.209324780520248,17.314561457787146,38.97313673194097
Heston,downside_wing,3,0.039117117405749254,0.030730771157793175,0.06443173899155852,14.688877778893824,12.562099093160102,21.358154951246767
Heston,upside_wing,3,0.0279461905645129,0.020695722963968655,0.047065006019650024,8.875252338289776,7.360674948827158,13.919538847975698
ESSVI local-vol proxy,all,9,0.008543748431698731,0.0063793452869256185,0.018395437889118682,2.5276697471242144,2.0168894240388564,4.331744685230898
ESSVI local-vol proxy,atm,3,0.003100547048299195,0.00263864883702943,0.004781548846349182,0.6536304993195567,0.6263236681508522,0.8734394941645185
ESSVI local-vol proxy,downside_wing,3,0.013188624295236047,0.010863041934531617,0.018395437889118682,3.3806060878485398,2.983995517741589,4.331744685230898
ESSVI local-vol proxy,upside_wing,3,0.005952622026708589,0.005636345089215807,0.007755231228905757,2.7039993899299652,2.440349086224129,4.07685007462022
Direct local-vol PDE,all,9,0.02432277894486371,0.01789554589803933,0.04411742059661705,5.426199934047997,4.50518499960849,8.058582392638513
Direct local-vol PDE,atm,3,0.030825072561191297,0.025232527144881,0.04411742059661705,6.4260743032897505,5.492029136678437,8.058582392638513
Direct local-vol PDE,downside_wing,3,0.006623930744793409,0.005277123968575381,0.010581394384406195,1.626925809159379,1.5478672108931724,2.2248410167544086
Direct local-vol PDE,upside_wing,3,0.027941567062131432,0.023176986580661602,0.04138254293536825,6.662553461915161,6.475658651253862,7.799555816969949
