expiry,days_to_expiry,raw_contracts,accepted_quotes,calls,puts,min_strike,max_strike,min_log_moneyness,max_log_moneyness
2026-06-26 00:00:00,19.534696,333,333,157,176,425.0,900.0,-0.551014,0.199291
2026-06-30 00:00:00,23.534696,598,598,263,335,410.0,900.0,-0.586946,0.199291
2026-07-02 00:00:00,25.534696,315,315,150,165,480.0,900.0,-0.429317,0.199291
2026-07-10 00:00:00,33.534696,337,337,160,177,450.0,900.0,-0.493856,0.199291
2026-07-17 00:00:00,40.534696,387,387,178,209,360.0,1000.0,-0.716999,0.304652
2026-07-24 00:00:00,47.534696,311,311,150,161,500.0,900.0,-0.388495,0.199291
2026-07-31 00:00:00,54.534696,451,451,215,236,375.0,840.0,-0.676177,0.130299
2026-08-21 00:00:00,75.534696,471,471,226,245,360.0,1000.0,-0.716999,0.304652
2026-08-31 00:00:00,85.534696,465,465,228,237,420.0,860.0,-0.562849,0.153829
2026-09-18 00:00:00,103.534696,264,264,123,141,300.0,1000.0,-0.899321,0.304652
2026-09-30 00:00:00,115.534696,352,352,168,184,375.0,900.0,-0.676177,0.199291
2026-10-16 00:00:00,131.534696,251,251,110,141,300.0,1000.0,-0.899321,0.304652
2026-10-30 00:00:00,145.534696,339,339,167,172,470.0,900.0,-0.450371,0.199291
2026-11-20 00:00:00,166.534696,265,265,124,141,300.0,1000.0,-0.899321,0.304652
2026-11-30 00:00:00,176.534696,351,351,174,177,490.0,920.0,-0.408698,0.22127
2026-12-18 00:00:00,194.534696,291,291,133,158,150.0,1000.0,-1.592468,0.304652
